"name","up.votes","date","n.comments","date.w","comments.share.w","votes.share.w","max.daily.comment.share","max.daily.votes.share"
"Sparta",55,2014-07-04,12,2014-06-29,0.00998336106489185,0.00907441016333938,0.00998336106489185,0.00907441016333938
"Wallpaper by Behance",34,2014-07-04,7,2014-06-29,0.00582362728785358,0.00560963537370071,0.00998336106489185,0.00907441016333938
"Your First Web App",25,2014-07-04,6,2014-06-29,0.00499168053244592,0.00412473189242699,0.00998336106489185,0.00907441016333938
"Power 20",31,2014-07-04,8,2014-06-29,0.00665557404326123,0.00511466754660947,0.00998336106489185,0.00907441016333938
"Hops",30,2014-07-04,8,2014-06-29,0.00665557404326123,0.00494967827091239,0.00998336106489185,0.00907441016333938
"GetClouder",27,2014-07-04,4,2014-06-29,0.00332778702163062,0.00445471044382115,0.00998336106489185,0.00907441016333938
"Teller",14,2014-07-04,5,2014-06-29,0.00415973377703827,0.00230984985975912,0.00998336106489185,0.00907441016333938
"PopJam",17,2014-07-04,3,2014-06-29,0.00249584026622296,0.00280481768685035,0.00998336106489185,0.00907441016333938
"gun.io",19,2014-07-04,4,2014-06-29,0.00332778702163062,0.00313479623824451,0.00998336106489185,0.00907441016333938
"SentForMac",8,2014-07-04,1,2014-06-29,0.000831946755407654,0.00131991420557664,0.00998336106489185,0.00907441016333938
"Cartegram",10,2014-07-04,2,2014-06-29,0.00166389351081531,0.0016498927569708,0.00998336106489185,0.00907441016333938
"Volt",10,2014-07-04,0,2014-06-29,0,0.0016498927569708,0.00998336106489185,0.00907441016333938
"MapWithMe",7,2014-07-04,0,2014-06-29,0,0.00115492492987956,0.00998336106489185,0.00907441016333938
"RightInbox",10,2014-07-04,5,2014-06-29,0.00415973377703827,0.0016498927569708,0.00998336106489185,0.00907441016333938
"Levitagram",8,2014-07-04,1,2014-06-29,0.000831946755407654,0.00131991420557664,0.00998336106489185,0.00907441016333938
"Everest",1,2014-07-04,1,2014-06-29,0.000831946755407654,0.00016498927569708,0.00998336106489185,0.00907441016333938
"Popexpert",3,2014-07-04,0,2014-06-29,0,0.000494967827091239,0.00998336106489185,0.00907441016333938
"Reelagram",8,2014-07-04,1,2014-06-29,0.000831946755407654,0.00131991420557664,0.00998336106489185,0.00907441016333938
"Fuisz Media",7,2014-07-04,2,2014-06-29,0.00166389351081531,0.00115492492987956,0.00998336106489185,0.00907441016333938
"Kiwi Juice",5,2014-07-04,2,2014-06-29,0.00166389351081531,0.000824946378485398,0.00998336106489185,0.00907441016333938
"Projectify",5,2014-07-04,0,2014-06-29,0,0.000824946378485398,0.00998336106489185,0.00907441016333938
"Unmark for Chrome",3,2014-07-04,2,2014-06-29,0.00166389351081531,0.000494967827091239,0.00998336106489185,0.00907441016333938
"Sunrise for Mac",162,2014-07-03,44,2014-06-29,0.0366056572379368,0.0267282626629269,0.0366056572379368,0.0267282626629269
"JOBBOX",132,2014-07-03,16,2014-06-29,0.0133111480865225,0.0217785843920145,0.0366056572379368,0.0267282626629269
"Snoopify World Cup Update",71,2014-07-03,19,2014-06-29,0.0158069883527454,0.0117142385744927,0.0366056572379368,0.0267282626629269
"MediaREDEF",79,2014-07-03,7,2014-06-29,0.00582362728785358,0.0130341527800693,0.0366056572379368,0.0267282626629269
"Find Guidelines",78,2014-07-03,10,2014-06-29,0.00831946755407654,0.0128691635043722,0.0366056572379368,0.0267282626629269
"Receiptful",54,2014-07-03,15,2014-06-29,0.0124792013311148,0.0089094208876423,0.0366056572379368,0.0267282626629269
"Equity Calculator",48,2014-07-03,12,2014-06-29,0.00998336106489185,0.00791948523345982,0.0366056572379368,0.0267282626629269
"3nder",44,2014-07-03,17,2014-06-29,0.0141430948419301,0.00725952813067151,0.0366056572379368,0.0267282626629269
"iLumi",43,2014-07-03,1,2014-06-29,0.000831946755407654,0.00709453885497443,0.0366056572379368,0.0267282626629269
"Brif",49,2014-07-03,13,2014-06-29,0.0108153078202995,0.00808447450915691,0.0366056572379368,0.0267282626629269
"Free Server",43,2014-07-03,11,2014-06-29,0.00915141430948419,0.00709453885497443,0.0366056572379368,0.0267282626629269
"Kiss",29,2014-07-03,1,2014-06-29,0.000831946755407654,0.00478468899521531,0.0366056572379368,0.0267282626629269
"Estately for iOS",39,2014-07-03,3,2014-06-29,0.00249584026622296,0.00643458175218611,0.0366056572379368,0.0267282626629269
"Whatt",25,2014-07-03,7,2014-06-29,0.00582362728785358,0.00412473189242699,0.0366056572379368,0.0267282626629269
