"name","up.votes","date","n.comments","date.w","comments.share","votes.share","max.daily.comment.share","max.daily.votes.share","days.in.week"
"1-Hour Photo",45,2014-07-05,7,2014-06-29,0.162790697674419,0.257142857142857,0.209302325581395,0.257142857142857,7
"LawTrades",25,2014-07-05,2,2014-06-29,0.0465116279069767,0.142857142857143,0.209302325581395,0.257142857142857,7
"Beak",21,2014-07-05,9,2014-06-29,0.209302325581395,0.12,0.209302325581395,0.257142857142857,7
"Massage",26,2014-07-05,9,2014-06-29,0.209302325581395,0.148571428571429,0.209302325581395,0.257142857142857,7
"ProductPush",17,2014-07-05,2,2014-06-29,0.0465116279069767,0.0971428571428571,0.209302325581395,0.257142857142857,7
"mipad",7,2014-07-05,1,2014-06-29,0.0232558139534884,0.04,0.209302325581395,0.257142857142857,7
"tape.ly",9,2014-07-05,2,2014-06-29,0.0465116279069767,0.0514285714285714,0.209302325581395,0.257142857142857,7
"Yeti",11,2014-07-05,8,2014-06-29,0.186046511627907,0.0628571428571429,0.209302325581395,0.257142857142857,7
"OurScreen",8,2014-07-05,1,2014-06-29,0.0232558139534884,0.0457142857142857,0.209302325581395,0.257142857142857,7
"Sellsy",6,2014-07-05,2,2014-06-29,0.0465116279069767,0.0342857142857143,0.209302325581395,0.257142857142857,7
"Sparta",62,2014-07-04,12,2014-06-29,0.155844155844156,0.146919431279621,0.155844155844156,0.146919431279621,7
"Wallpaper by Behance",51,2014-07-04,8,2014-06-29,0.103896103896104,0.12085308056872,0.155844155844156,0.146919431279621,7
"Your First Web App",37,2014-07-04,6,2014-06-29,0.0779220779220779,0.0876777251184834,0.155844155844156,0.146919431279621,7
"Power 20",35,2014-07-04,8,2014-06-29,0.103896103896104,0.0829383886255924,0.155844155844156,0.146919431279621,7
"Hops",32,2014-07-04,8,2014-06-29,0.103896103896104,0.0758293838862559,0.155844155844156,0.146919431279621,7
"GetClouder",29,2014-07-04,4,2014-06-29,0.051948051948052,0.0687203791469194,0.155844155844156,0.146919431279621,7
"Teller",20,2014-07-04,5,2014-06-29,0.0649350649350649,0.0473933649289099,0.155844155844156,0.146919431279621,7
"gun.io",23,2014-07-04,4,2014-06-29,0.051948051948052,0.0545023696682464,0.155844155844156,0.146919431279621,7
"PopJam",20,2014-07-04,4,2014-06-29,0.051948051948052,0.0473933649289099,0.155844155844156,0.146919431279621,7
"SentForMac",14,2014-07-04,2,2014-06-29,0.025974025974026,0.033175355450237,0.155844155844156,0.146919431279621,7
